,date,week_day,month,daily_income,unique_visitors
0,2018-06-23,5,6,2000.0,4
1,2018-06-24,6,6,2750.0,17
2,2018-06-25,0,6,6350.0,15
3,2018-06-26,1,6,2950.0,15
4,2018-06-27,2,6,2300.0,9
5,2018-06-28,3,6,2100.0,12
6,2018-06-29,4,6,400.0,7
7,2018-06-30,5,6,5550.0,18
8,2018-07-01,6,7,5285.0,13
9,2018-07-02,0,7,3860.0,9
10,2018-07-03,1,7,6500.0,14
11,2018-07-04,2,7,4050.0,10
12,2018-07-05,3,7,6000.0,11
13,2018-07-06,4,7,4030.0,11
14,2018-07-07,5,7,8040.0,13
15,2018-07-08,6,7,6255.0,14
16,2018-07-09,0,7,3800.0,11
17,2018-07-10,1,7,7900.0,15
18,2018-07-11,2,7,7890.0,15
19,2018-07-12,3,7,2700.0,12
20,2018-07-13,4,7,3750.0,8
21,2018-07-14,5,7,7450.0,15
22,2018-07-15,6,7,10850.0,23
23,2018-07-16,0,7,3750.0,11
24,2018-07-17,1,7,3300.0,10
25,2018-07-18,2,7,3050.0,10
26,2018-07-19,3,7,4250.0,12
27,2018-07-20,4,7,4350.0,15
28,2018-07-21,5,7,5550.0,17
29,2018-07-22,6,7,2800.0,10
30,2018-07-23,0,7,2400.0,13
31,2018-07-24,1,7,2250.0,6
32,2018-07-25,2,7,4000.0,10
33,2018-07-26,3,7,4550.0,12
34,2018-07-27,4,7,4200.0,13
35,2018-07-28,5,7,5550.0,13
36,2018-07-29,6,7,3200.0,12
37,2018-07-30,0,7,1800.0,9
38,2018-07-31,1,7,1520.0,9
39,2018-08-01,2,8,2550.0,10
40,2018-08-02,3,8,5500.0,13
41,2018-08-03,4,8,4250.0,16
42,2018-08-04,5,8,5300.0,11
43,2018-08-05,6,8,6570.0,12
44,2018-08-06,0,8,2400.0,11
45,2018-08-07,1,8,4560.0,13
46,2018-08-08,2,8,4850.0,13
47,2018-08-09,3,8,6950.0,13
48,2018-08-10,4,8,3450.0,9
49,2018-08-11,5,8,4250.0,14
50,2018-08-12,6,8,4860.0,9
51,2018-08-13,0,8,2600.0,11
52,2018-08-14,1,8,3035.0,11
53,2018-08-15,2,8,5350.0,16
54,2018-08-16,3,8,1600.0,7
55,2018-08-17,4,8,5550.0,10
56,2018-08-18,5,8,3850.0,17
57,2018-08-19,6,8,4050.0,14
58,2018-08-20,0,8,1000.0,6
59,2018-08-21,1,8,2900.0,9
60,2018-08-22,2,8,5360.0,16
61,2018-08-23,3,8,1850.0,6
62,2018-08-24,4,8,2250.0,10
63,2018-08-25,5,8,6550.0,16
64,2018-08-26,6,8,5000.0,13
65,2018-08-27,0,8,3250.0,13
66,2018-08-28,1,8,7950.0,10
67,2018-08-29,2,8,3150.0,9
68,2018-08-30,3,8,5200.0,12
69,2018-08-31,4,8,11050.0,9
